,RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,HOWLONG,Q2A,Q2B,Q2C,Q3A,Q3B,Q3C,Q3PARK,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q6,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q7J,Q7K,Q7L,Q7M,Q7N,Q7O,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9COM1,Q9COM2,Q9COM3,Q10,Q10COM1,Q10COM2,Q10COM3,Q11,Q12,Q12COM1,Q12COM2,Q12COM3,Q13A,Q13B,Q14A,Q14B,Q15,Q15A,Q15B,Q15C,Q16,Q17,Q18CITY,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,Q22,Q23A,Q23B,LANG,WEIGHT
0,1,522,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:00:00,09:30:00,210,2,,,7,,,,1,2,2,1,1,1,1,6,6,6,3,3,3,6,6,4,6,6,6,6,6,4,0,,,,,5,6,6,6,4,4,0,,,4,3,,,2,,,,,5,4,4,4,2,,,,6,3,MONTREAL,QC,,CANADA,13,5,2,3,1,2,2,1,0.2847177142857143
1,2,504,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:00:00,12:55:00,235,4,,,6,,,,2,1,1,2,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,,,,3,3,3,3,3,3,0,,,3,11,,,2,,,,,1,3,4,5,2,,,,7,1,BERKELEY,CA,94546.0,US,3,3,1,1,2,2,2,1,0.9440823788546255
2,3,523,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,8:30 AM,09:30:00,60,2,,,3,,,,0,0,1,1,1,1,4,5,5,4,4,4,4,6,6,5,6,6,6,6,6,4,14,,,,,5,6,6,5,5,5,0,,,4,6,,,4,,,,,11,0,5,6,2,,,,5,3,RENO,NV,89511.0,US,10,6,2,3,2,2,1,1,0.2847177142857143
3,4,505,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:00:00,12:55:00,175,2,,,9,,,,1,1,1,1,0,0,0,5,5,5,5,5,5,3,3,3,4,4,4,4,4,4,0,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,5,5,5,5,2,,,,7,1,SAN FRANCISCO,CA,94128.0,US,1,5,2,2,2,1,1,1,0.9440823788546255
4,5,524,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:00:00,09:30:00,150,2,3.0,,5,,,,1,1,1,2,1,1,2,6,3,3,4,4,4,4,4,2,4,6,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,5,0,,,2,,,,,5,5,5,5,2,,,,9,3,MONTREAL,QC,,CANADA,13,4,2,4,1,2,2,1,0.2847177142857143
5,6,525,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,09:30:00,120,1,,,3,,,,1,1,1,1,1,1,2,3,3,3,4,4,4,3,6,3,4,4,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,4,1,2.0,3.0,0,,,,,11,4,4,5,2,,,,10,3,MONTREAL,QC,,CANADA,13,5,1,0,2,2,2,1,0.2847177142857143
6,7,506,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12:55:00,205,2,,,12,,,,1,2,2,2,0,0,0,4,4,3,3,3,4,4,4,4,3,0,4,4,4,4,32,,,,,4,4,4,4,4,4,0,,,4,15,,,1,5,1,,,7,3,3,3,2,,,,8,1,SAN JOSE,CA,95104.0,US,4,4,1,4,2,2,2,1,0.9440823788546255
7,8,526,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,09:30:00,180,2,,,0,,,,1,2,1,2,1,2,1,6,4,6,4,4,4,6,6,6,6,6,6,6,6,4,0,,,,,4,6,6,4,4,4,0,,,5,0,,,1,4,0,,,5,4,4,4,2,,,,9,3,MONCTON,NB,,CANADA,13,6,2,2,3,3,4,1,0.2847177142857143
8,9,507,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12:55:00,205,4,,,3,,,,1,1,1,1,2,1,1,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4,8,,,,,5,5,5,5,5,5,0,,,5,1,,,3,,,,,11,5,5,5,2,,,,9,3,MEXICO CITY,,,MEXICO,13,2,1,1,2,2,2,2,0.9440823788546255
9,10,527,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,09:30:00,180,2,,,7,,,,1,1,1,1,1,1,3,6,4,4,5,5,5,6,6,4,6,6,6,6,6,5,1,8.0,,,,5,6,6,4,3,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,3,,NB,,CANADA,13,4,2,0,1,2,2,1,0.2847177142857143
10,11,528,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,09:30:00,180,2,,,7,,,,1,1,1,2,1,2,1,6,3,0,4,4,4,0,0,0,0,0,0,0,0,4,0,,,,,5,0,0,5,5,5,0,,,5,0,,,1,5,0,,,5,0,5,5,2,,,,9,3,MONCTON,NB,,CANADA,13,7,1,2,2,2,2,1,0.2847177142857143
11,12,508,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,7:00:00,12:55:00,355,3,,,3,,,,2,1,1,1,3,1,4,3,3,3,3,3,1,3,3,4,3,3,3,3,3,3,0,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,11,4,6,6,2,,,,8,3,HONG KONG,,,CHINA,16,4,1,4,1,1,4,2,0.9440823788546255
12,13,529,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,8:00:00,09:30:00,90,2,,,3,,,,0,1,1,1,3,1,2,4,3,3,4,4,4,3,3,5,6,6,6,6,6,6,102,151.0,,,,4,6,6,4,4,4,0,,,4,4,12.0,,4,,,,,11,4,4,6,2,,,,8,3,MONTREAL,QC,,CANADA,13,6,1,4,1,2,2,1,0.2847177142857143
13,14,509,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12:55:00,205,4,,,3,,,,1,1,1,0,2,1,1,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4,8,,,,,5,6,6,5,5,5,0,,,5,1,,,3,,,,,11,5,5,5,2,,,,9,3,,,,MEXICO,13,6,4,1,4,4,3,2,0.9440823788546255
14,15,530,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:35 AM,09:30:00,175,2,,,3,,,,0,1,1,1,1,1,3,5,5,5,5,4,5,6,6,5,0,0,0,0,0,5,4,,,,,5,0,0,5,5,5,0,,,5,0,,,2,,,,,11,5,5,0,2,,,,10,2,WOODLAND,CA,95695.0,US,10,6,2,2,2,2,2,1,0.2847177142857143
